state,action,next_state,reward,done
"[-1.2354696655273438, 0.029999992847442626, -1.319394073486328, -0.76, 0.009948975443840026, -0.5599999237060547, -0.6074594259262085, -0.7940355539321899, -4.754696655273437, 0.200510174036026, -7.593941497802734, 0.8961879730224609]","[0.0, -0.015182639472186565]","[-1.2354696655273438, 0.029999992847442626, -1.319394073486328, -0.76, 0.009948975443840026, -0.5599999237060547, -0.5979480743408203, -0.8012224435806274, -4.754696655273437, 0.200510174036026, -7.593941497802734, 0.8961879730224609]",-2.5,False
"[-1.2354696655273438, 0.029999992847442626, -1.319394073486328, -0.76, 0.009948975443840026, -0.5599999237060547, -0.5979480743408203, -0.8012224435806274, -4.754696655273437, 0.200510174036026, -7.593941497802734, 0.8961879730224609]","[1.0, 0.17888575792312622]","[-1.2764501190185547, 0.029999992847442626, -1.3289794921875, -0.76, 0.009948975443840026, -0.5599999237060547, -0.6811944842338562, -0.7317826151847839, -5.164501190185547, 0.200510174036026, -7.689795684814453, 0.9265270233154297]",-3.5,False
"[-1.2764501190185547, 0.029999992847442626, -1.3289794921875, -0.76, 0.009948975443840026, -0.5599999237060547, -0.6811944842338562, -0.7317826151847839, -5.164501190185547, 0.200510174036026, -7.689795684814453, 0.9265270233154297]","[1.0, 0.012735907919704914]","[-1.3206869506835937, 0.029999992847442626, -1.3388906860351562, -0.76, 0.009948975443840026, -0.5599999237060547, -0.6645612716674805, -0.7469417452812195, -5.606869506835937, 0.200510174036026, -7.788907623291015, 0.9599180603027344]",-3.5,False
"[-1.3206869506835937, 0.029999992847442626, -1.3388906860351562, -0.76, 0.009948975443840026, -0.5599999237060547, -0.6645612716674805, -0.7469417452812195, -5.606869506835937, 0.200510174036026, -7.788907623291015, 0.9599180603027344]","[1.0, 0.16719640791416168]","[-1.3691017150878906, 0.029999992847442626, -1.3435879516601563, -0.76, 0.009948975443840026, -0.5599999237060547, -0.7320750951766968, -0.6809243559837341, -6.091017150878907, 0.200510174036026, -7.835880279541016, 0.9926818084716796]",-3.5,False
"[-1.3691017150878906, 0.029999992847442626, -1.3435879516601563, -0.76, 0.009948975443840026, -0.5599999237060547, -0.7320750951766968, -0.6809243559837341, -6.091017150878907, 0.200510174036026, -7.835880279541016, 0.9926818084716796]","[1.0, 0.035475604236125946]","[-1.4143455505371094, 0.029999992847442626, -1.3464126586914062, -0.76, 0.009948975443840026, -0.5599999237060547, -0.7284196615219116, -0.6848509907722473, -6.543455505371094, 0.200510174036026, -7.864127349853516, 1.0232376098632812]",-3.5,False
"[-1.4143455505371094, 0.029999992847442626, -1.3464126586914062, -0.76, 0.009948975443840026, -0.5599999237060547, -0.7284196615219116, -0.6848509907722473, -6.543455505371094, 0.200510174036026, -7.864127349853516, 1.0232376098632812]","[1.0, 0.23625372350215912]","[-1.459342498779297, 0.029999992847442626, -1.3412969970703126, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8222713470458984, -0.5687746405601501, -6.993424987792968, 0.200510174036026, -7.812970733642578, 1.0487644958496094]",-3.5,False
"[-1.459342498779297, 0.029999992847442626, -1.3412969970703126, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8222713470458984, -0.5687746405601501, -6.993424987792968, 0.200510174036026, -7.812970733642578, 1.0487644958496094]","[1.0, 0.1362752467393875]","[-1.5061111450195312, 0.029999992847442626, -1.3305648803710937, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8589518666267395, -0.5117149949073792, -7.461111450195313, 0.200510174036026, -7.705649566650391, 1.072778778076172]",-3.5,False
"[-1.5061111450195312, 0.029999992847442626, -1.3305648803710937, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8589518666267395, -0.5117149949073792, -7.461111450195313, 0.200510174036026, -7.705649566650391, 1.072778778076172]","[0.0, 0.05710626393556595]","[-1.5099180603027345, 0.029999992847442626, -1.3296656799316406, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8795494437217712, -0.4754413962364197, -7.499180603027344, 0.200510174036026, -7.69665756225586, 1.0747858428955077]",-2.651589274406433,False
"[-1.5099180603027345, 0.029999992847442626, -1.3296656799316406, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8795494437217712, -0.4754413962364197, -7.499180603027344, 0.200510174036026, -7.69665756225586, 1.0747858428955077]","[1.0, 0.10021337866783142]","[-1.5490409851074218, 0.029999992847442626, -1.315137939453125, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8995115756988525, -0.43651118874549866, -7.890409851074219, 0.200510174036026, -7.551380157470703, 1.0923465728759765]",-3.3730223774909973,False
"[-1.5490409851074218, 0.029999992847442626, -1.315137939453125, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8995115756988525, -0.43651118874549866, -7.890409851074219, 0.200510174036026, -7.551380157470703, 1.0923465728759765]","[1.0, -0.03785429149866104]","[-1.5919589233398437, 0.029999992847442626, -1.3005462646484376, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8688464164733887, -0.49475428462028503, -8.319589233398437, 0.200510174036026, -7.405463409423828, 1.11398681640625]",-3.48950856924057,False
"[-1.5919589233398437, 0.029999992847442626, -1.3005462646484376, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8688464164733887, -0.49475428462028503, -8.319589233398437, 0.200510174036026, -7.405463409423828, 1.11398681640625]","[0.0, -0.0643327385187149]","[-1.59537109375, 0.029999992847442626, -1.2993934631347657, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8412376642227173, -0.5403667688369751, -8.3537109375, 0.200510174036026, -7.3939353942871096, 1.1157731628417968]",-2.6786346435546875,False
"[-1.59537109375, 0.029999992847442626, -1.2993934631347657, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8412376642227173, -0.5403667688369751, -8.3537109375, 0.200510174036026, -7.3939353942871096, 1.1157731628417968]","[1.0, 0.09708938747644424]","[-1.634886474609375, 0.029999992847442626, -1.284904022216797, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8640197515487671, -0.50314861536026, -8.74886474609375, 0.200510174036026, -7.249040985107422, 1.1363601684570312]",-3.5,False
"[-1.634886474609375, 0.029999992847442626, -1.284904022216797, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8640197515487671, -0.50314861536026, -8.74886474609375, 0.200510174036026, -7.249040985107422, 1.1363601684570312]","[1.0, -0.06875374913215637]","[-1.678177490234375, 0.029999992847442626, -1.27146484375, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8172158598899841, -0.5760732889175415, -9.18177490234375, 0.200510174036026, -7.1146492004394535, 1.161737594604492]",-3.5,False
"[-1.678177490234375, 0.029999992847442626, -1.27146484375, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8172158598899841, -0.5760732889175415, -9.18177490234375, 0.200510174036026, -7.1146492004394535, 1.161737594604492]","[1.0, 0.00937079731374979]","[-1.7214256286621095, 0.029999992847442626, -1.2578768157958984, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8031708598136902, -0.5955095887184143, -9.614256286621094, 0.200510174036026, -6.978768920898437, 1.1881806945800781]",-3.5,False
"[-1.7214256286621095, 0.029999992847442626, -1.2578768157958984, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8031708598136902, -0.5955095887184143, -9.614256286621094, 0.200510174036026, -6.978768920898437, 1.1881806945800781]","[1.0, 0.03526183217763901]","[-1.7642984008789062, 0.029999992847442626, -1.243151397705078, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8014716506004333, -0.5978047847747803, -10.042984008789062, 0.200510174036026, -6.831514739990235, 1.2147894287109375]",-3.5,False
"[-1.7642984008789062, 0.029999992847442626, -1.243151397705078, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8014716506004333, -0.5978047847747803, -10.042984008789062, 0.200510174036026, -6.831514739990235, 1.2147894287109375]","[1.0, 0.1459934264421463]","[-1.8059046936035157, 0.029999992847442626, -1.2235823822021485, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8481203317642212, -0.5295563340187073, -10.459046936035156, 0.200510174036026, -6.635824584960938, 1.2388140869140625]",-3.5,False
"[-1.8059046936035157, 0.029999992847442626, -1.2235823822021485, -0.76, 0.009948975443840026, -0.5599999237060547, -0.8481203317642212, -0.5295563340187073, -10.459046936035156, 0.200510174036026, -6.635824584960938, 1.2388140869140625]","[1.0, -0.17228318750858307]","[-1.8489039611816407, 0.029999992847442626, -1.2093059539794921, -0.76, 0.009948975443840026, -0.5599999237060547, -0.7509515285491943, -0.660167932510376, -10.889039611816406, 0.200510174036026, -6.493060302734375, 1.2679559326171874]",-3.5,False
"[-1.8489039611816407, 0.029999992847442626, -1.2093059539794921, -0.76, 0.009948975443840026, -0.5599999237060547, -0.7509515285491943, -0.660167932510376, -10.889039611816406, 0.200510174036026, -6.493060302734375, 1.2679559326171874]","[0.0, -0.48036614060401917]","[-1.852626495361328, 0.029999992847442626, -1.2081053924560547, -0.76, 0.009948975443840026, -0.5599999237060547, -0.45287707448005676, -0.8914332985877991, -10.92626495361328, 0.200510174036026, -6.4810546875, 1.2705413818359375]",-2.758544921875,False
"[-1.852626495361328, 0.029999992847442626, -1.2081053924560547, -0.76, 0.009948975443840026, -0.5599999237060547, -0.45287707448005676, -0.8914332985877991, -10.92626495361328, 0.200510174036026, -6.4810546875, 1.2705413818359375]","[1.0, -0.4921846091747284]","[-1.8925682067871095, 0.029999992847442626, -1.227491989135742, -0.76, 0.009948975443840026, -0.5599999237060547, -0.08057853579521179, -0.9966315627098083, -11.325682067871094, 0.200510174036026, -6.674920654296875, 1.3147845458984375]",-3.5,False
"[-1.8925682067871095, 0.029999992847442626, -1.227491989135742, -0.76, 0.009948975443840026, -0.5599999237060547, -0.08057853579521179, -0.9966315627098083, -11.325682067871094, 0.200510174036026, -6.674920654296875, 1.3147845458984375]","[1.0, -0.2390371710062027]","[-1.929221649169922, 0.029999992847442626, -1.254087905883789, -0.76, 0.009948975443840026, -0.5599999237060547, 0.10370191931724548, -0.9944990873336792, -11.692216491699218, 0.200510174036026, -6.940879821777344, 1.359867401123047]",-3.5,False
"[-1.929221649169922, 0.029999992847442626, -1.254087905883789, -0.76, 0.009948975443840026, -0.5599999237060547, 0.10370191931724548, -0.9944990873336792, -11.692216491699218, 0.200510174036026, -6.940879821777344, 1.359867401123047]","[0.0, -0.12413466721773148]","[-1.9321112060546874, 0.029999992847442626, -1.25623779296875, -0.76, 0.009948975443840026, -0.5599999237060547, 0.19974631071090698, -0.9797372817993164, -11.721112060546876, 0.200510174036026, -6.962378692626953, 1.363449249267578]",-2.858184814453125,False
"[-1.9321112060546874, 0.029999992847442626, -1.25623779296875, -0.76, 0.009948975443840026, -0.5599999237060547, 0.19974631071090698, -0.9797372817993164, -11.721112060546876, 0.200510174036026, -6.962378692626953, 1.363449249267578]","[1.0, 0.0734461322426796]","[-1.9645767211914062, 0.029999992847442626, -1.2824595642089844, -0.76, 0.009948975443840026, -0.5599999237060547, 0.13872727751731873, -0.9902276992797852, -12.045767211914063, 0.200510174036026, -7.224596405029297, 1.404761505126953]",-3.5,False
"[-1.9645767211914062, 0.029999992847442626, -1.2824595642089844, -0.76, 0.009948975443840026, -0.5599999237060547, 0.13872727751731873, -0.9902276992797852, -12.045767211914063, 0.200510174036026, -7.224596405029297, 1.404761505126953]","[1.0, -0.16200439631938934]","[-1.9925013732910157, 0.029999992847442626, -1.3110699462890625, -0.76, 0.009948975443840026, -0.5599999237060547, 0.2564566135406494, -0.9664559364318848, -12.325013732910156, 0.200510174036026, -7.510700225830078, 1.4434568786621094]",-3.5,False
"[-1.9925013732910157, 0.029999992847442626, -1.3110699462890625, -0.76, 0.009948975443840026, -0.5599999237060547, 0.2564566135406494, -0.9664559364318848, -12.325013732910156, 0.200510174036026, -7.510700225830078, 1.4434568786621094]","[1.0, -0.3011292815208435]","[-2.0224476623535157, 0.029999992847442626, -1.3573077392578126, -0.76, 0.009948975443840026, -0.5599999237060547, 0.4616299867630005, -0.8869709968566895, -12.624476623535156, 0.200510174036026, -7.9730781555175785, 1.4932769775390624]",-3.5,False
